"","Event_ID","Incid_Type","Asmnt_Type","BurnBndAc","BurnBndLat","BurnBndLon","Ig_Date","Comment","IG_DATE","IG_YEAR","IG_MONTH","IG_DAY","closestStnDist_TMIN","closestStnID_TMIN","closestStnLong_TMIN","closestStnLat_TMIN"
"22","CA3294511693519840906","Wildfire","Extended (SS)",3073,32.945,-116.935,"1984-09-06","",1984-09-06,1984,9,6,7.80681297783297,"USC00047228",-116.9081,33.0114
"23","CA3341311687319840530","Wildfire","Extended",5564,33.413,-116.873,"1984-05-30","",1984-05-30,1984,5,30,4.94976831013144,"USC00046657",-116.84,33.3781
"24","CA3375011772919840615","Wildfire","Initial",1384,33.75,-117.729,"1984-06-15","",1984-06-15,1984,6,15,5.7683831593224,"USC00049087",-117.7539,33.7025
"25","CA3402311625519840531","Wildfire","Initial (SS)",4130,34.023,-116.255,"1984-05-31","",1984-05-31,1984,5,31,23.2658466752937,"USC00049099",-116.0369,34.1281
"26","CA3428511755419840528","Wildfire","Extended",2442,34.285,-117.554,"1984-05-28","",1984-05-28,1984,5,28,22.714381050225,"USC00043120",-117.5167,34.0833
"27","CA3433111896419840507","Wildfire","Initial (SS)",10917,34.331,-118.964,"1984-05-07","Single scene assessment",1984-05-07,1984,5,7,15.6913430781992,"USC00047957",-119.1331,34.3119
"28","CA3444311889619841015","Wildfire","Extended",6049,34.443,-118.896,"1984-10-15","",1984-10-15,1984,10,15,26.22058211004,"USC00047957",-119.1331,34.3119
"29","CA3444911848019840622","Prescribed Fire","Initial (SS)",1035,34.449,-118.48,"1984-06-22","perimeter by others in prior mapping",1984-06-22,1984,6,22,6.2055510399899,"USC00042516",-118.5333,34.4833
"30","CA3445211772619840706","Wildfire","Initial",1479,34.452,-117.726,"1984-07-06","",1984-07-06,1984,7,6,12.9175181560921,"USC00049250",-117.8667,34.45
"31","CA3455211818319840529","Wildfire","Initial (SS)",3554,34.552,-118.183,"1984-05-29","Single scene assessment",1984-05-29,1984,5,29,9.11226022564377,"USC00046624",-118.0939,34.5883
"32","CA3470111707519840512","Wildfire","Initial (SS)",2458,34.701,-117.075,"1984-05-12","",1984-05-12,1984,5,12,21.8959239217999,"USC00040521",-117.0219,34.8928
"33","CA3480712050119840507","Wildfire","Initial (SS)",3159,34.807,-120.501,"1984-05-07","Single scene assessment",1984-05-07,1984,5,7,11.3452105511526,"USW00023273",-120.4486,34.8994
"35","CA3490511928619840810","Wildfire","Extended",1977,34.905,-119.286,"1984-08-10","Hard to determine fire perimeter",1984-08-10,1984,8,10,21.7413912929792,"USC00045338",-119.3833,35.0833
"36","CA3509712015419840528","Prescribed Fire","Initial (SS)",1777,35.097,-120.154,"1984-05-28","",1984-05-28,1984,5,28,19.465318575161,"USC00049111",-120.3211,34.9881
"38","CA3519712039419840629","Wildfire","Initial (SS)",1622,35.197,-120.394,"1984-06-29","",1984-06-29,1984,6,29,18.529786023879,"USC00047672",-120.5039,35.3372
"40","CA3525312054719840529","Wildfire","Initial (SS)",1585,35.253,-120.547,"1984-05-29","",1984-05-29,1984,5,29,10.1582485113057,"USC00047672",-120.5039,35.3372
"41","CA3539611983319840819","Wildfire","Extended",6009,35.396,-119.833,"1984-08-19","Edited Ca. Dept. Forestry perimeter",1984-08-19,1984,8,19,32.9474437057611,"USC00041244",-119.47,35.4028
"43","CA3557911838819840707","Wildfire","Extended",23189,35.579,-118.388,"1984-07-07","Hard to tell burned area on NE corner.",1984-07-07,1984,7,7,23.1818162685597,"USC00044523",-118.4389,35.7831
"44","CA3561111844619840526","Wildfire","Initial (SS)",1118,35.611,-118.446,"1984-05-26","",1984-05-26,1984,5,26,19.1688579002497,"USC00044523",-118.4389,35.7831
"46","CA3589912013419840525","Wildfire","Initial (SS)",6693,35.899,-120.134,"1984-05-25","Single scene assessment",1984-05-25,1984,5,25,19.7380905409986,"USC00044534",-119.96,36.0067
"49","CA3607412018819840329","Wildfire","Initial (SS)",1462,36.074,-120.188,"1984-03-29","Single scene assessment",1984-03-29,1984,3,29,16.9706772656771,"USC00041864",-120.3606,36.1356
"51","CA3626012031719840525","Wildfire","Initial (SS)",1136,36.26,-120.317,"1984-05-25","",1984-05-25,1984,5,25,14.3913959736651,"USC00041864",-120.3606,36.1356
"53","CA3631411886919840821","Wildfire","Extended",1566,36.314,-118.869,"1984-08-21","Edited Ca. Dept. Forestry perimeter",1984-08-21,1984,8,21,15.9987822693968,"USC00044890",-119.0264,36.3817
"54","CA3640611884819840829","Wildfire","Extended",2987,36.406,-118.848,"1984-08-29","Edited Ca. Dept. Forestry perimeter",1984-08-29,1984,8,29,6.68479475518807,"USC00048917",-118.8619,36.465
"56","CA3651011888219841010","Wildfire","Extended",1306,36.51,-118.882,"1984-10-10","Hard to determine fire perimeter",1984-10-10,1984,10,10,5.32260328080856,"USC00048917",-118.8619,36.465
"58","CA3674412094119840602","Wildfire","Initial (SS)",12103,36.744,-120.941,"1984-06-02","",1984-06-02,1984,6,2,27.3697411906924,"USC00045120",-120.9297,36.9897
"59","CA3688312115819840705","Wildfire","Initial (SS)",1231,36.883,-121.158,"1984-07-05","",1984-07-05,1984,7,5,20.9479663732217,"USC00047846",-121.0578,37.0533
"60","CA3709812116219840521","Wildfire","Initial (SS)",1409,37.098,-121.162,"1984-05-21","",1984-05-21,1984,5,21,10.5074812593949,"USC00047846",-121.0578,37.0533
"62","CA3765112147419840628","Wildfire","Initial (SS)",6911,37.651,-121.474,"1984-06-28","",1984-06-28,1984,6,28,11.7330376115893,"USC00048999",-121.3467,37.6819
"64","CA3800412064719840624","Wildfire","Initial (SS)",4837,38.004,-120.647,"1984-06-24","",1984-06-24,1984,6,24,11.6480037787665,"USC00046172",-120.5333,37.95
"65","CA3816412073119840912","Prescribed Fire","Initial (SS)",1775,38.164,-120.731,"1984-09-12","",1984-09-12,1984,9,12,13.6084206717926,"USC00041428",-120.8433,38.2486
"66","CA3898512244019841128","Prescribed Fire","Extended",2823,38.985,-122.44,"1984-11-28","",1984-11-28,1984,11,28,12.9426458165924,"USC00041806",-122.5672,38.9239
"67","CA3927012245319841128","Prescribed Fire","Extended",1846,39.27,-122.453,"1984-11-28","",1984-11-28,1984,11,28,11.3906121987594,"USC00042640",-122.5178,39.3592
"68","CA3939212245119841024","Wildfire","Extended",1470,39.392,-122.451,"1984-10-24","",1984-10-24,1984,10,24,6.80979925999985,"USC00042640",-122.5178,39.3592
"69","CA3978412169619840702","Wildfire","Extended",6012,39.784,-121.696,"1984-07-02","Bidwell; Used Sept 7  1984 Landsat 5 image to help delineate perimeter",1984-07-02,1984,7,2,6.99782411818222,"USC00046685",-121.6242,39.7539
"71","CA3998112259119840712","Wildfire","Initial",2868,39.981,-122.591,"1984-07-12","Lowery",1984-07-12,1984,7,12,34.4695361888277,"USW00024216",-122.2536,40.1519
"72","CA4001112181719840907","Wildfire","Initial (SS)",2795,40.011,-121.817,"1984-09-07","",1984-09-07,1984,9,7,23.4560102869145,"USC00042402",-121.6108,39.8717
"73","CA4003412014019840821","Wildfire","Extended",1201,40.034,-120.14,"1984-08-21","",1984-08-21,1984,8,21,8.47867161431155,"USC00042506",-120.0828,39.9717
"74","CA4007812006619840705","Wildfire","Initial",3979,40.078,-120.066,"1984-07-05","",1984-07-05,1984,7,5,11.9196216281978,"USC00042506",-120.0828,39.9717
"76","CA4054812140719840823","Wildfire","Extended",1113,40.548,-121.407,"1984-08-23","Badger",1984-08-23,1984,8,23,14.3757732300519,"USC00045311",-121.5767,40.5411
"77","CA4064712197519841005","Prescribed Fire","Extended",2415,40.647,-121.975,"1984-10-05","Daniels",1984-10-05,1984,10,5,35.6722281248219,"USC00045311",-121.5767,40.5411
"78","CA4068311999419840706","Wildfire","Initial",21482,40.683,-119.994,"1984-07-06","",1984-07-06,1984,7,6,42.3039602528075,"USC00048873",-120.4333,40.8667
"79","CA4126012012019840809","Wildfire","Extended",1734,41.26,-120.12,"1984-08-09","",1984-08-09,1984,8,9,14.6474349105898,"USC00044374",-120.2947,41.2683
"80","CA4192312065019840813","Wildfire","Extended",3025,41.923,-120.65,"1984-08-13","",1984-08-13,1984,8,13,41.2108261492461,"USC00043157",-120.1575,41.8714
"82","FL2536308069419841102","Prescribed Fire","Initial (SS)",2843,25.363,-80.694,"1984-11-02","Hard to delineate fire perimeter with limited scenes",1984-11-02,1984,11,2,10.4371728498057,"USC00087760",-80.5936,25.3867
"83","FL2547908067519841119","Prescribed Fire","Initial (SS)",2484,25.479,-80.675,"1984-11-19","Hard to delineate fire perimeter with limited scenes",1984-11-19,1984,11,19,13.1353498656626,"USC00087760",-80.5936,25.3867
"84","FL2571008106519840817","Prescribed Fire","Initial (SS)",1171,25.71,-81.065,"1984-08-17","",1984-08-17,1984,8,17,17.0341384097118,"USC00086406",-81.0331,25.8603
"86","FL2612908146419841106","Wildfire","Initial (SS)",608,26.129,-81.464,"1984-11-06","",1984-11-06,1984,11,6,22.3720555618874,"USC00086078",-81.6842,26.1653
"88","FL2632308079319841111","Wildfire","Initial (SS)",1117,26.323,-80.793,"1984-11-11","",1984-11-11,1984,11,11,42.9196734756969,"USC00080611",-80.6711,26.6928
"90","FL2634508084719840813","Wildfire","Initial (SS)",2224,26.345,-80.847,"1984-08-13","",1984-08-13,1984,8,13,42.496883417032,"USC00080611",-80.6711,26.6928
"92","FL2640708069619841217","Wildfire","Initial (SS)",1625,26.407,-80.696,"1984-12-17","",1984-12-17,1984,12,17,31.911627301274,"USC00080611",-80.6711,26.6928
"103","FL2776008141819841224","Wildfire","Initial",1067,27.76,-81.418,"1984-12-24","",1984-12-24,1984,12,24,21.2939349744772,"USC00080369",-81.5267,27.5947
"110","FL2803008115019841224","Wildfire","Initial (SS)",1962,28.03,-81.15,"1984-12-24","",1984-12-24,1984,12,24,38.4064723612991,"USC00084625",-81.4239,28.2764
"117","FL2854908065019840418","Wildfire","Initial (SS)",836,28.549,-80.65,"1984-04-18","Vegetation has regrown quickly.",1984-04-18,1984,4,18,18.3367178058561,"USC00088942",-80.8169,28.6242
"118","FL2912908170019840519","Wildfire","Extended",2321,29.129,-81.7,"1984-05-19","Used 50160401984167XXX04 as a perimeter scene did not use because of clouds",1984-05-19,1984,5,19,29.6802874252115,"USC00085076",-81.7844,28.8728
"124","ID4264111494719840719","Wildfire","Initial",1615,42.641,-114.947,"1984-07-19","",1984-07-19,1984,7,19,12.0786749560428,"USC00101551",-114.8661,42.5503
"125","ID4265511593019840628","Wildfire","Initial (SS)",2488,42.655,-115.93,"1984-06-28","",1984-06-28,1984,6,28,27.3480594248907,"USC00101195",-115.8017,42.8819
"126","ID4271211541519840727","Wildfire","Initial (SS)",1405,42.712,-115.415,"1984-07-27","",1984-07-27,1984,7,27,26.4987019621207,"USC00103631",-115.3231,42.9403
"127","ID4279811581219840624","Wildfire","Initial (SS)",2463,42.798,-115.812,"1984-06-24","",1984-06-24,1984,6,24,9.37748186337134,"USC00101195",-115.8017,42.8819
"128","ID4288511546819840713","Wildfire","Initial",7549,42.885,-115.468,"1984-07-13","",1984-07-13,1984,7,13,13.3213466488158,"USC00103631",-115.3231,42.9403
"129","ID4302311621119840712","Wildfire","Initial",1331,43.023,-116.211,"1984-07-12","",1984-07-12,1984,7,12,2.81819772833069,"USC00103760",-116.1772,43.0175
"130","ID4310211581619840720","Wildfire","Extended (SS)",2233,43.102,-115.816,"1984-07-20","",1984-07-20,1984,7,20,7.10660295832066,"USW00024106",-115.8667,43.05
"131","ID4311911611819840711","Wildfire","Initial",4136,43.119,-116.118,"1984-07-11","",1984-07-11,1984,7,11,12.2818595400567,"USC00103760",-116.1772,43.0175
"132","ID4341311257219840717","Wildfire","Initial",1001,43.413,-112.572,"1984-07-17","",1984-07-17,1984,7,17,30.7274148565219,"USC00100915",-112.3453,43.1917
"133","ID4573711472219840804","Wildfire","Extended",1132,45.737,-114.722,"1984-08-04","",1984-08-04,1984,8,4,21.7877197722479,"USC00106493",-114.8333,45.9167
"134","ME4458006760419840501","Wildfire","Initial (SS)",901,44.58,-67.604,"1984-05-01","",1984-05-01,1984,5,1,8.11076664114017,"USC00174183",-67.6494,44.6453
"135","MI4442008339519840428","Wildfire","Initial (SS)",1693,44.42,-83.395,"1984-04-28","",1984-04-28,1984,4,28,17.4433149477845,"USC00202423",-83.5036,44.2839
"136","MO3703109139719840425","Wildfire","Initial (SS)",610,37.031,-91.397,"1984-04-25","",1984-04-25,1984,4,25,14.1838849333354,"USC00230088",-91.4439,37.1528
"138","MT4533610695819840826","Wildfire","Extended",1597,45.336,-106.958,"1984-08-26","",1984-08-26,1984,8,26,22.6761975147298,"USC00241297",-106.9597,45.5397
"139","MT4561710632319840918","Wildfire","Initial",3617,45.617,-106.323,"1984-09-18","",1984-09-18,1984,9,18,23.2461065635622,"USC00241084",-106.2328,45.8161
"140","MT4571910583819840827","Wildfire","Initial (SS)",2667,45.719,-105.838,"1984-08-27","",1984-08-27,1984,8,27,32.5072214966868,"USC00241084",-106.2328,45.8161
"141","MT4625810827219840825","Wildfire","Extended",157778,46.258,-108.272,"1984-08-25","",1984-08-25,1984,8,25,28.2982284757194,"USC00247214",-108.5319,46.4381
"142","MT4680511189419840827","Wildfire","Extended",27162,46.805,-111.894,"1984-08-27","",1984-08-27,1984,8,27,21.1680233082837,"USC00241470",-111.7333,46.65
"143","MT4804111389819840827","Wildfire","Extended",1055,48.041,-113.898,"1984-08-27","",1984-08-27,1984,8,27,14.5846404760495,"USC00248087",-113.8389,47.9161
"144","MT4805011525819840815","Wildfire","Extended",13113,48.05,-115.258,"1984-08-15","",1984-08-15,1984,8,15,10.765154033791,"USC00245020",-115.2144,47.9578
"145","MT4842011369719840827","Wildfire","Initial (SS)",3255,48.42,-113.697,"1984-08-27","",1984-08-27,1984,8,27,23.0426704483004,"USC00248809",-113.9847,48.5003
"146","MT4880411345819840819","Wildfire","Extended",3680,48.804,-113.458,"1984-08-19","",1984-08-19,1984,8,19,7.57665295606459,"USC00247292",-113.4294,48.7386
"147","NJ3990507449119840420","Prescribed Fire","Initial (SS)",599,39.905,-74.491,"1984-04-20","",1984-04-20,1984,4,20,17.9347365245221,"USC00286843",-74.6828,39.9708
"150","NV3774511522219840531","Wildfire","Initial (SS)",16689,37.745,-115.222,"1984-05-31","",1984-05-31,1984,5,31,14.2899394347136,"USC00264143",-115.2167,37.6167
"151","NV3881711969319840628","Wildfire","Extended",16990,38.817,-119.693,"1984-06-28","northern perimeter from state of CA GIS records",1984-06-28,1984,6,28,10.012216357307,"USC00049775",-119.8,38.7833
"152","NV3936411451419840703","Wildfire","Extended",4101,39.364,-114.514,"1984-07-03","",1984-07-03,1984,7,3,22.9817968834551,"USC00264950",-114.7733,39.4136
"153","NV3961311999619840628","Wildfire","Extended",10037,39.613,-119.996,"1984-06-28","Used July 14  1984 scene for perimeter",1984-06-28,1984,6,28,24.066760601599,"USW00023185",-119.7711,39.4839
"154","NV3977411998919840706","Wildfire","Initial",4413,39.774,-119.989,"1984-07-06","",1984-07-06,1984,7,6,17.1974329158237,"USC00049351",-120.1858,39.8056
"155","NV3978111987619840714","Wildfire","Extended",16832,39.781,-119.876,"1984-07-14","should have been an initial assessment but no suitable imagery",1984-07-14,1984,7,14,26.639351748536,"USC00049351",-120.1858,39.8056
"156","NV3984011956819840814","Wildfire","Extended",1789,39.84,-119.568,"1984-08-14","",1984-08-14,1984,8,14,12.6080482608504,"USC00267953",-119.5986,39.9508
"157","NV3984911989219840705","Wildfire","Initial",6289,39.849,-119.892,"1984-07-05","",1984-07-05,1984,7,5,21.2601426485161,"USC00042506",-120.0828,39.9717
"158","NV4027911982519840617","Wildfire","Initial (SS)",9035,40.279,-119.825,"1984-06-17","",1984-06-17,1984,6,17,40.641659177013,"USC00042506",-120.0828,39.9717
"159","NV4043811646219840803","Wildfire","Extended (SS)",4427,40.438,-116.462,"1984-08-03","",1984-08-03,1984,8,3,16.9896395231912,"USC00260795",-116.475,40.5903
"160","NV4048011930319840625","Wildfire","Initial (SS)",2200,40.48,-119.303,"1984-06-25","",1984-06-25,1984,6,25,19.6673421889237,"USC00263090",-119.3578,40.6517
"161","NV4049111656919840626","Wildfire","Initial (SS)",3958,40.491,-116.569,"1984-06-26","",1984-06-26,1984,6,26,13.6171805397726,"USC00260795",-116.475,40.5903
"162","NV4068311976419840530","Wildfire","Initial (SS)",2069,40.683,-119.764,"1984-05-30","",1984-05-30,1984,5,30,34.4746384965873,"USC00263090",-119.3578,40.6517
"163","NV4071511779419840718","Wildfire","Extended",4327,40.715,-117.794,"1984-07-18","",1984-07-18,1984,7,18,20.8173028923675,"USW00024128",-117.8081,40.9017
"164","NV4099711695019840830","Wildfire","Extended (SS)",38483,40.997,-116.95,"1984-08-30","3 merged fires over older fires",1984-08-30,1984,8,30,43.1718590246528,"USW00024119",-116.8917,40.6117
"165","NV4118711743819840804","Wildfire","Extended",6184,41.187,-117.438,"1984-08-04","",1984-08-04,1984,8,4,26.0372960791798,"USC00263245",-117.4922,40.9567
"166","NV4120511780619840823","Wildfire","Extended",3401,41.205,-117.806,"1984-08-23","",1984-08-23,1984,8,23,33.7637041179814,"USW00024128",-117.8081,40.9017
"167","NV4147111720519840706","Wildfire","Initial",29358,41.471,-117.205,"1984-07-06","",1984-07-06,1984,7,6,28.7965382287681,"USC00266005",-117.5478,41.5022
"168","NV4152711874819840624","Wildfire","Initial (SS)",5318,41.527,-118.748,"1984-06-24","",1984-06-24,1984,6,24,2.6601378225749,"USC00264527",-118.7192,41.5167
"169","NV4159311819619840711","Wildfire","Extended",6808,41.593,-118.196,"1984-07-11","",1984-07-11,1984,7,11,16.9468924641892,"USC00264236",-118.2258,41.7436
"170","OK3698209465619840221","Wildfire","Initial (SS)",1048,36.982,-94.656,"1984-02-21","",1984-02-21,1984,2,21,22.8646717416861,"USW00013987",-94.5022,37.1467
"171","OR4200211850519840705","Wildfire","Initial (SS)",12107,42.002,-118.505,"1984-07-05","",1984-07-05,1984,7,5,10.7270793709304,"USC00262229",-118.6336,41.9897
"172","OR4223911978319840726","Wildfire","Initial",3042,42.239,-119.783,"1984-07-26","",1984-07-26,1984,7,26,11.6420709725264,"USC00350036",-119.8958,42.1761
"173","OR4229711891819840628","Wildfire","Initial (SS)",1417,42.297,-118.918,"1984-06-28","",1984-06-28,1984,6,28,20.2791997885971,"USC00352876",-118.6758,42.2642
"174","OR4258812018119840809","Wildfire","Extended",7946,42.588,-120.181,"1984-08-09","",1984-08-09,1984,8,9,14.2095170865356,"USC00358812",-120.2822,42.4844
"175","OR4262411999319840809","Wildfire","Initial",11784,42.624,-119.993,"1984-08-09","",1984-08-09,1984,8,9,28.3531427382938,"USC00358812",-120.2822,42.4844
"176","OR4267311984019840809","Wildfire","Initial (SS)",35390,42.673,-119.84,"1984-08-09","",1984-08-09,1984,8,9,20.4820114151107,"USC00353692",-119.6558,42.5486
"177","OR4276411926519840804","Wildfire","Initial",7118,42.764,-119.265,"1984-08-04","",1984-08-04,1984,8,4,32.0116962216582,"USC00356853",-118.8778,42.8081
"178","OR4277211878619840812","Wildfire","Initial",2555,42.776,-118.786,"1984-08-12","",1984-08-12,1984,8,12,8.30690608699326,"USC00356853",-118.8778,42.8081
"179","OR4283811911619840709","Wildfire","Initial",4312,42.838,-119.116,"1984-07-09","",1984-07-09,1984,7,9,19.7313337908881,"USC00356853",-118.8778,42.8081
"180","OR4296312021419840809","Wildfire","Initial",2283,42.963,-120.214,"1984-08-09","",1984-08-09,1984,8,9,17.9920623136948,"USC00350118",-119.9933,42.9694
"181","OR4300911815919840804","Wildfire","Initial (SS)",16896,43.009,-118.159,"1984-08-04","single scene assessment",1984-08-04,1984,8,4,35.9259726793949,"USC00351174",-117.8525,42.7772
"182","OR4303311990019840810","Wildfire","Initial",9697,43.033,-119.9,"1984-08-10","",1984-08-10,1984,8,10,10.3837004459601,"USC00350118",-119.9933,42.9694
"183","OR4313011879219840726","Wildfire","Initial",3622,43.13,-118.792,"1984-07-26","",1984-07-26,1984,7,26,15.6248342490486,"USC00355162",-118.8447,43.265
"184","OR4315712076019840711","Wildfire","Initial",1627,43.157,-120.76,"1984-07-11","",1984-07-11,1984,7,11,19.1704041654098,"USC00358420",-120.9447,43.2644
"185","OR4319011995219840804","Wildfire","Initial",5322,43.19,-119.952,"1984-08-04","",1984-08-04,1984,8,4,8.69888349968104,"USC00358948",-119.8833,43.25
"186","OR4319612032519840809","Wildfire","Initial",8528,43.196,-120.325,"1984-08-09","",1984-08-09,1984,8,9,36.3305034531652,"USC00358948",-119.8833,43.25
"187","OR4323711801419840823","Wildfire","Initial (SS)",1902,43.237,-118.014,"1984-08-23","",1984-08-23,1984,8,23,29.2673767684247,"USC00357208",-118.2244,43.4508
"188","OR4334211814819840802","Wildfire","Initial (SS)",2198,43.342,-118.148,"1984-08-02","Single Scene Assessment",1984-08-02,1984,8,2,13.5970430554965,"USC00357208",-118.2244,43.4508
"189","OR4546712084319840811","Wildfire","Initial",1993,45.467,-120.843,"1984-08-11","",1984-08-11,1984,8,11,9.47872530224284,"USC00355734",-120.7236,45.4825
"190","OR4574712002419840809","Wildfire","Initial",1113,45.747,-120.024,"1984-08-09","",1984-08-09,1984,8,9,14.4627678688207,"USC00350265",-120.2064,45.7211
"191","SD4308410285019840906","Wildfire","Initial",2691,43.084,-102.85,"1984-09-06","",1984-09-06,1984,9,6,33.5089509600731,"USC00396212",-103.2372,43.1878
"192","SD4400910230819840815","Wildfire","Initial (SS)",1267,44.009,-102.308,"1984-08-15","",1984-08-15,1984,8,15,13.1098037668065,"USC00398911",-102.4497,44.0681
"193","UT3870611356719840619","Wildfire","Initial (SS)",2019,38.706,-113.567,"1984-06-19","",1984-06-19,1984,6,19,19.807381964501,"USC00422116",-113.75,38.6
"194","UT3977011257819840708","Wildfire","Initial",9309,39.77,-112.578,"1984-07-08","",1984-07-08,1984,7,8,23.698601747684,"USC00425138",-112.3069,39.7267
"195","WA4628912040319841017","Wildfire","Extended",3031,46.289,-120.403,"1984-10-17","",1984-10-17,1984,10,17,16.3401982434729,"USC00458959",-120.4203,46.4353
"196","WA4642711956919840812","Wildfire","Extended",122914,46.427,-119.569,"1984-08-12","dnbr unreliable for peremiter delineation on grassland portion of this shrub fir",1984-08-12,1984,8,12,26.7494700991052,"USC00457015",-119.2633,46.3119
"197","WA4665511966319840530","Wildfire","Initial (SS)",1996,46.655,-119.663,"1984-05-30","",1984-05-30,1984,5,30,18.6028652493665,"USC00456747",-119.9061,46.6461
"198","AK6244915566819850730","Wildfire","Extended",7382,62.449,-155.668,"1985-07-30","",1985-07-30,1985,7,30,52.4740451192347,"USW00026536",-155.9667,62.9
"199","AK6256215664519850720","Wildfire","Extended",5489,62.562,-156.645,"1985-07-20","",1985-07-20,1985,7,20,51.112718552285,"USW00026536",-155.9667,62.9
"200","AK6260315742119850801","Wildfire","Extended",4780,62.603,-157.421,"1985-08-01","",1985-08-01,1985,8,1,81.1593475175153,"USW00026536",-155.9667,62.9
"201","AK6283615543219850803","Wildfire","Extended",9522,62.836,-155.432,"1985-08-03","",1985-08-03,1985,8,3,15.8052408555176,"USC00505770",-155.5903,62.9583
"202","AK6293715788819850728","Wildfire","Extended",7295,62.937,-157.888,"1985-07-28","",1985-07-28,1985,7,28,89.3461532169125,"USC00508379",-159.5667,62.7
"203","AK6328715436819850803","Wildfire","Extended",1692,63.287,-154.368,"1985-08-03","",1985-08-03,1985,8,3,71.5715539858474,"USC00505770",-155.5903,62.9583
"204","AK6431115699319850801","Wildfire","Extended",1300,64.311,-156.993,"1985-08-01","",1985-08-01,1985,8,1,86.746520405478,"USC00508044",-155.4842,64.7425
